Artist,Title,Album,Date,Lyric,Year
Starfall,wild fire,Come Home,,"[Intro] Just another star on my journey Wildfire thoughts keep on burning me It's every night, every weekend [Chorus] Well, ??my ??mind is spinning ??in circles Do I have to tell ??you my reasons? Why would I leave it here with somebody that I wanna love? Will you stay for me? In my darkest days In my wildest dreams Will you stay for me? [Verse] We're up all night till seven I'm speaking lines that I never would We're in the sky's possession In every lifetime, I'm here with you, by the moon In your white dress, sing it to the groom, I know That it's me you're looking for You're someone I adore, but [Chorus] Baby, my mind is spinning in circles Do I have to tell you my reasons? Why would I leave it here (Why would I) with somebody that I wanna love? Would you stay for me? In my darkest days In my wildest dreams Will you stay for me? [Outro] Ooh, ooh With somebody that I wanna love",
Starfall,close your eyes,lose myself,,"[Verse] You said, ""Give it time"" (Give it time) Maybe the time wasn't the problem You said, ""Close your eyes"" (Close) It won't go away until we solve 'em (Solve 'em) Looking for change once again How can I lose all my thoughts (Lose all my thoughts) And ignore all the problems I tried my best to keep you safe I did, now I'm holding you back I messed up what we had 'Cause I know you've found somebody else  ??I'm glad,"" is what I said to you",
Starfall,deja vu,lose myself,,"[Verse 1] I've been mad at the fact that I'm older Been a year, but it said too much I gotta second guess why I'd act like a loner 'Cause in my face, I've been feelin' numb [Refrain] 'Cause I don't know how to start Got this wound in my heart from a friend And I, I don't know how to part with these Stupid little thoughts in my head [Chorus] Maybe I just won't be there for you (No, no) Maybe I'm just getting déjà vu But I know, I'm never letting things go So I'm holding closer Waiting 'til it's over to say that I'm gone [Verse 2] Never going out, so would I even know her? I'm a fool for stayin' in love Guess I'm not the one to keep up my composure Now I'm runnin' all out of luck [Refrain] 'Cause I don't know how to start Got this wound in my heart from a friend (Yeah, yeah, oh, yeah) And I, I don't know how to part with these Stupid little thoughts in my head [Bridge] I've been waiting far too long for you But you never knew (But you never knew) Oh, I've been waiting far too long for you Woah-oh-oh (Oh-woah) [Chorus] Maybe I just won't be there for you (Won't be there for you) Maybe I'm just getting déjà vu But I know I'm never letting things go (Da-da-da-da-da) So I'm holding closer Waiting 'till it's over to say that I'm gone (Mm-mm)",
Starfall,lose myself,lose myself,,"[Intro] Like why, do you do what you do? Got my heart tied up and I'm stuck in a loop I don't want your love if you got nun' to prove [Pre-Chorus] I know you, like I know me So what is there to do? Step all over with your shoes If I break another heart then I could possibly just lose myself in pain 'Cause what is there to gain? [Chorus] If I did what you did I would go insane (Nah) I found it so abusive even by a grain, yeah I think I might lose it if I hear you- Lose myself in pain 'Cause what is there to gain? If I did what you did I would go insane (Nah) I found it so abusive even by a grain, yeah I think I might lose it if I hear your name [Verse] 'Cause you're so conceited, you don't believe it I had to put my heart at stake, yeah You should've cheated, why I competed I brush you off like you're a face Don't leave, don't try, get away Did I make you feel like you were unsafe? I don't need nobody to do well I got it on my own, my own See upcoming R&B shows Get tickets for your favorite artists You might also like Neva Play Megan Thee Stallion talk! JoonQT  ??desire  ??bixby [Pre-Chorus] I know you, like I know me So what is there to do? Step all over with your shoes If I break another heart then I could possibly just lose myself in pain 'Cause what is there to gain? [Chorus] If I did what you did I would go insane (Nah) I found it so abusive even by a grain, yeah I think I might lose it if I hear you- Lose myself in pain 'Cause what is there to gain? If I did what you did I would go insane (Nah) I found it so abusive even by a grain, yeah I think I might lose it if I hear your name",
Starfall,one call,lose myself,,"[Pre-Chorus] I've called you way too many times I'm starting to regret it I made way too many lies It was so hard to admit it But I know my tongues are tied No, I can't look you in the eyes And your love is motivational 'Cause you're the one I like [Chorus] Steady, away, one call but you never cared at all Too much of the alcohol, you can't think straight, walkin' into walls, yeah Don't care to win at all (Nah), be there to catch your fall (Nah) I had somebody by my side 'til you ruined it all Girl, I don't know how to feel (I don't know how to feel) I'm drowning in water, I can't tell you how I feel (Feel, feel, feel), oh, how I feel I wanted love, love, love, oh, love, woah, love [Verse] I don't wanna waste my time (Nah) Baby, don't break the line (Don't break the line) I don't wanna say too much but you've been on my mind (Yeah) Hate it when you hold me back, you hold me back a lot And you never called me back, I called you back a lot Tell me like, oh [Chorus] Steady, away, one call (Steady, away, one call) But you never cared at all Too much of the alcohol, you can't think straight, walkin' into walls, yeah Don't care to win at all (Nah), be there to catch your fall (Nah) I had somebody by my side 'til you ruined it all Girl, I don't know how to feel (Girl, I don't know how to feel) I'm drowning in water, I can't tell you how I feel (Feel, feel, feel), oh, how I feel I wanted love, love, love, oh, love, woah, love",
Starfall,tied up,lose myself,,"[Intro] Wishing I could take back all that I've said Leaving all your messages on read And I know that it's different now but I wish that we were closer again Didn't think it'd be this bad, missing what we had You can see all of the damage, driving me mad Know that it's different now but I want it bad Am I asking for too much, too much? [Pre-Chorus] Sometimes I wonder where you are at night When you disappear and leave my sight (Oh) But this time girl, I ??m not tired yet So I ??ll run until I've reached the end [Chorus] Girl, I ??m tired of picking your side and shit You got me tied up, hoping I die to this I can't dеcide on whether I ??m into it Don't еven know if I like that we're intimate- (E-e-e-e) Girl, I ??m tired of picking your side and shit You got me tied up, hoping I die to this I can't decide on whether I ??m into it Don't even know if I like that we're intimate- (E-e-e-e) [Bridge] I don't really want an answer baby, nah I don't really wanna talk to you baby, nah Leave me alone Hope you can jump back to when you weren't cold [Verse] I'm in LA with the gang, where you at now? I got too many enemies, I ??ll never let my back down (Nah, nah) I don't want love or attention (Nah) Please get out of my mentions (Ah) [Pre-Chorus] Sometimes I wonder where you are at night When you disappear and leave my sight (Oh) But this time girl, I ??m not tired yet So I ??ll run until I've reached the end [Chorus] Girl, I ??m tired of picking your side and shit You got me tied up, hoping I die to this I can't decide on whether I ??m into it Don't even know if I like that we're intimate- (E-e-e-e) Girl, I ??m tired of picking your side and shit You got me tied up, hoping I die to this I can't decide on whether I ??m into it Don't even know if I like that we're intimate- (E-e-e-e)",
Starfall,drop dead,lose myself,,"[Intro] (Dead, drop dead) (Don't trust no one, finna cut my line) (Dead, drop dead) (From the moment I saw you gon' waste my time) (Dead, oh, dead) (I know what I saw and I'm next in ?line) (Dead, ?oh, ?dead) (Is what I ?tell myself when ?I say I'm ?? ?? ??) [Chorus] Dead, drop dead Don't trust no one, finna cut my line Dead, drop dead From the moment I saw you gon' waste my time Dead, oh, dead I know what I saw and I'm next in line Dead, oh, dead Is what I tell myself when I say I'm fine [Verse] ""Why don't you open up again?"" ""You've been so stuck on all your friends"" Nobody seems to care until I tell them why I want an end I never had that type of love that makes you feel like you should live My mind still aches to think about you when I'm laying in my bed Our time has come Shit hurts, but I know it's not worth at all What's said is done Miss you when I'm on that alcohol I dread now Scream until my head's down Hanging by a thread now Wishing we were (Wishing we were) [Chorus] Dead, drop dead Don't trust no one, finna cut my line Dead, drop dead From the moment I saw you gon' waste my time Dead, oh, dead I know what I saw and I'm next in line Dead, oh, dead Is what I tell myself when I say I'm fine Dead, drop dead Don't trust no one, finna cut my line Dead, drop dead From the moment I saw you gon' waste my time Dead, oh, dead I know what I saw and I'm next in line Dead, oh, dead Is what I tell myself when I say I'm fine [Outro] (Dead, oh, dead)",
Starfall,"darling, he lied","darling, he lied",,"[Intro: Zac Greer] Ooh-ooh Ooh-ooh Ooh-ooh Ooh-ooh [Verse 1: bixby] Show off my face a little less So you could steal the sky (The sky, the sky, the sky, the sky) Throw up another cigarette Another strange addiction I'll survive [Chorus: bixby] But are you surprised? Darling, he lied A sorry for why you went there tonight Well what's on your mind? We'll fuck one more time Darling, he lied, lied [Verse 2: starfall] I could've tried to fix you Seven days till I could get to you Seem to care, I can't ring up But it's starting to feel like I'm not living Stop, I can't afford the distance Don't, oh, I'm just tired of missing you Sometimes I could feel likе giving up, oh [Chorus: bixby] But are you surprised? Darling, he liеd A sorry for why you went there tonight Well what's on your mind? We'll fuck one more time Darling, he lied, lied [Outro: starfall & bixby] But are you surprised? (Baby, darling, don't lie, lie) A sorry for why ?? (Baby, darling, don't lie, lie) Well what's on your mind? (Baby, darling, don't lie, lie) We'll fuck one more time But, darling, he lied, lied (Baby, darling, don't lie, lie) But, darling, he lied",
Starfall,memories,memories,,"[Verse 1] All the memories we made All the problems we faced All the time that we wa- All the time that we wasted All alone, once again You were never really mine No you would never really try I ?let ?you ?cross over my ?lines Let it go But ?i can't let you know That i wasn't enough Were you truly in love Let it go But i can't let it show That i was never really tough Guess you could read through my bluff [Chorus] You said You were never really, you were never really in love Who am I to really, who am I to really trust? Feels like its been a while but baby Throw my feels in a pile and baby Ignore it all for a while, and baby [Verse 2] A hand to hold, when it's getting cold We're falling out, it's hard to control you again The lies you told, it's getting old You threw away my heart that you folded and bent It's a shame we never happened Feel the same from when it happened You were my biggest distraction I can't, I can't take this lightly I know it ain't likely But i want you beside me [Brdge] Yeah (Yeah) Hey yeah (Yeah), hey yeah Hey yeah, hey, yeah Hey yeah, hey yeah Hey yeah [Chorus] You said You were never really, you were never really in love Who am I to really, who am I to really trust? Feels like its been a while but baby Throw my feels in a pile and baby Ignore it all for a while, and baby You said You were never really, you were never really in love Who am I to really, who am I to really trust? Feels like its been a while but baby Throw my feels in a pile and baby Ignore it all for a while, and baby",
Starfall,talk to me,talk to me,,"[Verse 1] Do you feel it? The way I've been feeling (Uh-huh) Ooh, it's been haunting me No, I couldn't fall asleep (Couldn't fall asleep) I'm seeing, why we're disagreeing (Heal, heal, heal) Would you ever comfort me inside your arms? Let me know [Refrain] Go through all your messages, I'm not the type to render it You act so expressionless, I know what your intention is Witness all your recklessness, I didn't wanna mention it So I don't ever piss you off, baby, let me know [Chorus] Why you wouldn't tell me, girl, this isn't helping, no (Ah, ah) Baby, won't you come with me instead, 'cause I'm so sick of fighting (So sick of fighting) You're so good at lying, woah, nah Baby, won't you talk to me, baby, won't you ?? [Verse 2] Hеar me out 'cause I wanna know the truth Did hе hold you and wrap your body around? Lemme know who (Lemme know who) 'Cause I know it's dumb but why won't you let me in? Oh-woah, let me in, lemme [Refrain] Go through all your messages, I'm not the type to render it You act so expressionless, I know what your intention is Witness all your recklessness, I didn't wanna mention it So I don't ever piss you off, baby, let me know [Bridge] 'Cause I know what you want but you're gone (Uh-huh) There's nothing I could do that can change your ways And I just can't decide who you are Ooh, I'd rather die than have to hold onto your mistakes, ah [Chorus] Why you wouldn't tell me (But, you wouldn't tell me) Girl this isn't helping (This isn't helping) Baby, won't you come with me instead, 'cause I'm so sick of fighting (So sick of fighting) You're so good at lying, woah, nah (So good at lying) Baby, won't you talk to me? 'Cause why don't you just tell me? Girl, this isn't helping, I Baby, won't you come with me instead, 'cause I'm so sick of fighting You're so good at lying, woah, nah Baby, won't you talk to me, 'cause I",
